id	trait	sample_size	ncase	year	consortium
finn-b-I9_IHD	Ischaemic heart disease, wide definition		31640	2021	NA
finn-b-DM_OTHER_WIDE	Other diabetes, wide definition		31626	2021	NA
finn-b-E4_THYROID	Disorders of the thyroid gland		31108	2021	NA
finn-b-I9_ISCHHEART	Ischemic heart diseases		30952	2021	NA
finn-b-J10_INFLUPNEU	Influenza and pneumonia		29924	2021	NA
finn-b-I9_CVD_HARD	Hard cardiovascular diseases		29350	2021	NA
finn-b-T2D	Type 2 diabetes, definitions combined		29193	2021	NA
finn-b-H7_LENS	Disorders of lens		29188	2021	NA
finn-b-E4_DM2_STRICT	Type 2 diabetes, strict (exclude DM1)		29166	2021	NA
finn-b-K11_OESSTODUO	Diseases of oesophagus, stomach and duodenum		29097	2021	NA
finn-b-KELA_DIAB_INSUL_EXMORE	"""Diabetes, insuline treatment (Kela reimbursement)"" (more controls excluded)"		29071	2021	NA
finn-b-KELA_DIAB_INSUL	Diabetes, insuline treatment (Kela reimbursement)		29071	2021	NA
finn-b-M13_DORSALGIA	Dorsalgia		28785	2021	NA
finn-b-I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified		28764	2021	NA
finn-b-T2D_INCLAVO	Type 2 diabetes, definitions combined, including avohilmo		28717	2021	NA
finn-b-RX_CODEINE_TRAMADOL	Codeine or tramadol medication		28511	2021	NA
finn-b-K11_HERNIA	Hernia		28235	2021	NA
finn-b-COPD_ASTHMA_PNEUMONIA_SEPSIS	COPD/asthma related pneumonia or pneumonia derived septichaemia		27715	2021	NA
finn-b-PULM_PNEUMONIA_SEPSIS	COPD/asthma/ILD related pneumonia or pneumonia derived septichaemia		27715	2021	NA
finn-b-ST19_INJURI_KNEE_LOWER_LEG	Injuries to the knee and lower leg		27614	2021	NA
finn-b-Z21_PERSONS_ENCOUNTERI_HEALTH_SERVI_OTH_CIRCUMSTANC1	Persons encountering health services in other circumstances (Z21_PERSONS_ENCOUNTERI_HEALTH_SERVI_OTH_CIRCUMSTANC1)		27430	2021	NA
finn-b-J10_PNEUMONIA	All pneumoniae		27370	2021	NA
finn-b-BRONCHITIS	Bronchitis		27361	2021	NA
finn-b-J10_PNEUMOPROBBAC	Pneumonia (excl. viral and due to other infectious organisms not elsewhere classified)		26809	2021	NA
finn-b-H7_CATARACTSENILE	Senile cataract		26758	2021	NA
finn-b-F5_MOOD	Mood [affective] disorders		26572	2021	NA
finn-b-KRA_PSY_MOOD	Mood disorders		26537	2021	NA
finn-b-KRA_PSY_MOOD_EXMORE	Mood disorders (more controls excluded)		26537	2021	NA
finn-b-HYPOTHYROIDISM	Hypothyroidism (congenital or acquired)		26342	2021	NA
finn-b-E4_HYTHYNAS	Hypothyroidism,  other/unspecified		26306	2021	NA
finn-b-HYPOTHY_PURCHASE	Hypothyroidism and >3 levothyroxin purchases		26064	2021	NA
finn-b-HYPOTHY_LEVOTHY	Hypothyroidism, levothyroxin purchases		26064	2021	NA
finn-b-E4_HYTHY_AI_STRICT_PURCH	Hypothyroidism, strict autoimmune, 3 medication purchases required		26064	2021	NA
finn-b-Z21_PERSONS_ENCOUNTERI_HEALTH_SERVI_SPECIFIC_PROCED_HEALTH_CARE	Persons encountering health services for specific procedures and health care		25222	2021	NA
finn-b-R18_ABNORMALITI_BREAT	Abnormalities of breathing		25139	2021	NA
finn-b-O15_COMPLIC_LAB_DELIV	Complications of labour and delivery		24953	2021	NA
finn-b-FG_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN)		24817	2021	NA
finn-b-R18_PAIN_THROAT_CHEST	Pain in throat and chest		24609	2021	NA
finn-b-J10_CHRONTONSADEN	Chronic diseases of tonsils and adenoids		24463	2021	NA
finn-b-E4_DM2NASCOMP	Type 2 diabetes with other specified/multiple/unspecified complications		24133	2021	NA
finn-b-G6_NERPLEX	Nerve, nerve root and plexus disorders		23745	2021	NA
finn-b-Z21_PERSONS_W_POTEN_HEALTH_HAZARDS_RELATED_FAMILY_PERSONAL_HISTORY_CERTA_CONDI_INFLUENCI_HEALTH_STATUS	Persons with potential health hazards related to family and personal history and certain conditions influencing health status		23745	2021	NA
finn-b-I9_HEARTFAIL_AND_OVERWEIGHT	Heart failure and bmi 25plus		23701	2021	NA
finn-b-I9_HEARTFAIL_NS	Heart failure, not strict		23701	2021	NA
finn-b-N14_URINOTH	Other diseases of urinary system		23652	2021	NA
finn-b-K11_GALLBILPANC	Disorders of gallbladder, biliary tract and pancreas		23648	2021	NA
finn-b-F5_DEPRESSIO	Depression		23424	2021	NA
finn-b-I9_HEARTFAIL_ALLCAUSE	All-cause Heart Failure		23397	2021	NA
finn-b-K11_ORAL	Diseases of oral cavity, salivary glands and jaws		23397	2021	NA
finn-b-J10_PNEUMONAS	Pneumonia, organism unsepcified		23390	2021	NA
finn-b-I9_CORATHER	Coronary atherosclerosis		23363	2021	NA
finn-b-I9_CORATHER_EXNONE	Coronary atherosclerosis (no controls excluded)		23363	2021	NA
finn-b-E4_HYTHY_AI_STRICT	Hypothyroidism, strict autoimmune		22997	2021	NA
finn-b-M13_ARTHROSIS_KNEE	Gonarthrosis		22796	2021	NA
finn-b-KNEE_ARTHROSIS	Gonarthrosis [arthrosis of knee](FG)		22796	2021	NA
finn-b-ST19_INJURI_HEAD	Injuries to the head		22538	2021	NA
finn-b-N14_MALEGEN	Diseases of male genital organs		22414	2021	NA
finn-b-R18_SYMPTOMS_SIGNS_INVOLVI_COGNITION_PERCEP_EMOTIONAL_STATE_BEHVI	Symptoms and signs involving cognition, perception, emotional state and behaviour		22409	2021	NA
finn-b-J10_ASTHMA_INCLAVO	Asthma, including avohilmo		22244	2021	NA
finn-b-H8_OTHEREAR	Other disorders of ear		22200	2021	NA
finn-b-I9_HEARTFAIL_AND_ANTIHYPERT	Heart failure and antihypertensive medication		22113	2021	NA
finn-b-I9_AF	Atrial fibrillation and flutter		22068	2021	NA
finn-b-I9_AF_EXNONE	Atrial fibrillation and flutter (no controls excluded)		22068	2021	NA
finn-b-ILD_ENDPOINTS	Interstitial lung disease endpoints		21806	2021	NA
finn-b-Z21_GENERAL_EXAM_INVES_PERSONS_WO_COMPLA_REPOR_DIAGNOSIS	General examination and investigation of persons without complaint and reported diagnosis		21663	2021	NA
finn-b-E4_METABOLIA	Metabolic disorders		21533	2021	NA
finn-b-AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases		21494	2021	NA
finn-b-J10_ASTHMACOPDKELA	Asthma/COPD (KELA code 203)		21444	2021	NA
finn-b-AB1_OTHER_BACTERIAL	Other bacterial diseases		21132	2021	NA
finn-b-I9_CHD	Major coronary heart disease event		21012	2021	NA
finn-b-KRA_PSY_ANXIETY	Anxiety disorders		20992	2021	NA
finn-b-KRA_PSY_ANXIETY_EXMORE	Anxiety disorders (more controls excluded)		20992	2021	NA
finn-b-AB1_BACTINF_NOS	Bacterial infection, other or unspecified		20977	2021	NA
finn-b-F5_NEUROTIC	Neurotic, stress-related and somatoform disorders		20682	2021	NA
finn-b-J10_ASTHMA	Asthma		20629	2021	NA
finn-b-J10_ASTHMA_EXMORE	Asthma (more controls excluded)		20629	2021	NA
finn-b-O15_ABORT_MEDICAL	Medical abortion		20570	2021	NA
finn-b-M13_ARTHROSIS_KNEE_PRIM_ICD10	Gonarthrosis,primary		20523	2021	NA
finn-b-L12_DERMATITISECZEMA	Dermatitis and eczema		20052	2021	NA
finn-b-M13_INTERVERTEB	Other intervertebral disc disorders		20001	2021	NA
finn-b-CHOLELITH_BROAD	Cholelithiasis, broad definition with cholecystitis		19883	2021	NA
finn-b-ST19_INJURI_WRIST_HAND	Injuries to the wrist and hand		19756	2021	NA
finn-b-OPER_ARTIF_JOINT_MENISC_RESECT	Articial joint operation, menisceal resection		19723	2021	NA
finn-b-MIGRAINE_TRIPTAN	Migraine, single triptan purchase ok & required. ICD-code if available is included		19676	2021	NA
finn-b-M13_KNEEDERANGEMENTS	Internar derangement of knee		19627	2021	NA
finn-b-ASTHMA_MODE	Asthma (mode)		19573	2021	NA
finn-b-ST19_COMPLICATIO_SURGI_MEDICAL_CARE_NOT_ELSEW_CLASSIFIED	Complications of surgical and medical care, not elsewhere classified		19521	2021	NA
finn-b-M13_LOWBACKPAINORANDSCIATICA	Lower back pain or/and sciatica		19509	2021	NA
finn-b-D3_BLOOD	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism		19444	2021	NA
finn-b-O15_MATERN_CARE	Maternal care related to the fetus and amniotic cavity and possible delivery problems		19332	2021	NA
finn-b-SLEEP	Sleep disorders (combined)		19155	2021	NA
finn-b-Z21_PERSONS_ENCOUNTERI_HEALTH_SERVI_OTH_COUNSELLI_MEDICAL_ADVICE_NOT_ELSEW_CLASSIFIED	Persons encountering health services for other counselling and medical advice, not elsewhere classified		19084	2021	NA
finn-b-K11_CHOLELITH	Cholelithiasis		19023	2021	NA
finn-b-M13_SOFTTISSUEOTH	Other soft tissue disorders, not elsewhere classified		19010	2021	NA
finn-b-C_STROKE	STROKE		18661	2021	NA
finn-b-M13_SPONDYLOPATHY	Spondylopathies		18550	2021	NA
finn-b-M13_SHOULDER	Shoulder lesions		18197	2021	NA
finn-b-I9_ANGINA	Angina pectoris		18168	2021	NA
finn-b-I9_ANGINA_EXNONE	Angina pectoris (no controls excluded)		18168	2021	NA
finn-b-CD2_BENIGN_LEIOMYOMA_UTERI	Leiomyoma of uterus		18060	2021	NA
finn-b-CD2_BENIGN_LEIOMYOMA_UTERI_EXALLC	Leiomyoma of uterus (all cancers excluded)		18060	2021	NA
finn-b-J10_ACUTEUPPERINFEC	Acute upper respiratory infections of multiple and unspecified sites		17920	2021	NA
finn-b-N14_MESNRUIRREG	Excessive, freguent and irrelgular menstruation		17873	2021	NA
finn-b-Z21_ANTEN_SCREE	Antenatal screening		17826	2021	NA
finn-b-N14_RENALTUB	Renal tubulo-intestitial diseases		17764	2021	NA
finn-b-J10_ASTHMA_MAIN	Asthma (only as main-diagnosis)		17438	2021	NA
finn-b-J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis) (more controls excluded)		17438	2021	NA
finn-b-ASTHMA_HOSPITAL_MAIN	Asthma, hospital admissions , main diagnosis only		17433	2021	NA
finn-b-H8_CONSENHEARINGLOSS	Conductive and sensorineural hearing loss		17337	2021	NA
finn-b-T2D_WIDE	Type 2 diabetes, wide definition		17268	2021	NA
finn-b-K11_CONSTIPATION	Constipation		17246	2021	NA
finn-b-K11_HERING	Inguinal hernia		17096	2021	NA
finn-b-I9_VARICVE	Varicose veins		17027	2021	NA
finn-b-I9_VARICVE_EXNONE	Varicose veins (no controls excluded)		17027	2021	NA
finn-b-K11_APPENDIX	Diseases of appendix		16906	2021	NA
finn-b-G6_SLEEPAPNO_INCLAVO	Sleep apnoea, including avohilmo		16794	2021	NA
finn-b-APPENDICITIS_BROAD	Appendicitis, broad definition		16766	2021	NA
finn-b-G6_SLEEPAPNO	Sleep apnoea		16761	2021	NA
finn-b-R18_DYSPNOEA	Dyspnoea		16574	2021	NA
finn-b-M13_JOINTOTH	Other specific joint derangements/joint disorders		16132	2021	NA
finn-b-H8_HL_SEN_NAS	Sensorineural hearing loss		15952	2021	NA
finn-b-ST19_INJURI_SHOUL_UPPER_ARM	Injuries to the shoulder and upper arm		15926	2021	NA
finn-b-N14_URETHRAOTH	Other disorders of urethra and urinary system		15905	2021	NA
finn-b-R18_SYMPTOMS_SIGNS_INVOLVI_URINARY_SYSTEM	Symptoms and signs involving the urinary system		15882	2021	NA
finn-b-H7_CHOROIDRETINA	Disorders of choroid and retina		15774	2021	NA
finn-b-I9_CEREBVASC	Cerebrovascular diseases		15724	2021	NA
finn-b-K11_APPENDACUT	Acute appendicitis		15627	2021	NA
finn-b-H7_LIDLACRIMALORBIT	Disorders of eyelid, lacrimal system and orbit		15561	2021	NA
finn-b-ST19_COMPLICATIO_PROCED_NOT_ELSEW_CLASSIFIED	Complications of procedures, not elsewhere classified		15487	2021	NA
finn-b-H7_CONJUNCTIVA	Disorders of conjunctiva		15275	2021	NA
finn-b-AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin		15255	2021	NA
finn-b-M13_POLYARTHROPATHIES	Polyarthropathies		15246	2021	NA
finn-b-DEATH	Any death		15152	2021	NA
finn-b-Z21_SUPERV_NORMAL_PREGNAC1	Supervision of normal pregnancy		15123	2021	NA
finn-b-R18_DIZZI_GIDDI	Dizziness and giddiness		14888	2021	NA
finn-b-E4_DM2NOCOMP	Type 2 diabetes without complications		14622	2021	NA
finn-b-DM_RETINOPATHY	Diabetic retinopathy (DM_RETINOPATHY)		14584	2021	NA
finn-b-DM_RETINOPATHY_EXMORE	Diabetic retinopathy (more controls excluded)		14584	2021	NA
finn-b-K11_DIVERTIC	Diverticular disease of intestine		14357	2021	NA
finn-b-E4_LIPOPROT	Disorders of lipoprotein metabolism and other lipidaemias		14010	2021	NA
finn-b-Z21_EXAM_OBSER_OTH_REASO	Examination and observation for other reasons		13990	2021	NA
finn-b-FG_CEREBVASC	Cerebrovascular diseases (FINNGEN)		13700	2021	NA
finn-b-H7_CONJUNCTIVITIS	Conjunctivitis		13655	2021	NA
finn-b-M13_MENISCUSDERANGEMENTS	Meniscus derangement		13568	2021	NA
finn-b-JOINTPAIN	Pain in joint		13419	2021	NA
finn-b-ALCOHOL_RELATED	Alcohol related diseases and deaths, all endoints		13361	2021	NA
finn-b-R18_HEADACHE1	Headache		13345	2021	NA
finn-b-I9_OTHARR	Other arrhytmias		13250	2021	NA
finn-b-I9_OTHARR_EXNONE	Other arrhytmias (no controls excluded)		13250	2021	NA
finn-b-O15_PREG_OTHER_MAT_DISORD	Other maternal disorders predominantly related to pregnancy		13249	2021	NA
finn-b-M13_LOWBACKPAIN	Low back pain		13178	2021	NA
finn-b-ST19_INTRACRATRAUMA	Intracranial trauma		13165	2021	NA
finn-b-Z21_CONTRACEPTIVE_MANAG	Contraceptive management		13141	2021	NA
finn-b-K11_REFLUX	Gastro-oesophageal reflux disease		13141	2021	NA
finn-b-F5_SUBSTANCE	Mental and behavioural disorders due to psychoctive substance use		13133	2021	NA
finn-b-N14_PROSTHYPERPLA	Hyperplasia of prostate		13118	2021	NA
finn-b-I9_HEARTFAIL_EXNONE	"""Heart failure,strict"" (no controls excluded)"		13087	2021	NA
finn-b-I9_HEARTFAIL	Heart failure,strict		13087	2021	NA
finn-b-ST19_INJURI_ELBOW_FOREA	Injuries to the elbow and forearm		13024	2021	NA
finn-b-G6_OTHNEU	Other neurological diseases		12993	2021	NA
finn-b-F5_UNSMENDIS	Unspecified mental disorder		12907	2021	NA
finn-b-H8_MIDDLEMASTOID	Diseases of middle ear and mastoid		12853	2021	NA
finn-b-KRA_PSY_SUBSTANCE	Substance abuse		12819	2021	NA
finn-b-KRA_PSY_SUBSTANCE_EXMORE	Substance abuse (more controls excluded)		12819	2021	NA
finn-b-I9_MI	Myocardial infarction		12801	2021	NA
finn-b-I9_MI_EXNONE	Myocardial infarction (no controls excluded)		12801	2021	NA
finn-b-Z21_FOLLOW__EXAM_TREAT_CONDI_OTH_MALIG_NEOPLASMS	Follow-up examination after treatment for conditions other than malignant neoplasms		12645	2021	NA
finn-b-I9_STR_SAH_EXNONE	"""Stroke, including SAH"" (no controls excluded)"		12632	2021	NA
finn-b-I9_STR_SAH	Stroke, including SAH		12632	2021	NA
finn-b-M13_LIMBPAIN	Pain in limb		12606	2021	NA
finn-b-F5_ALLANXIOUS	All anxiety disorders		12513	2021	NA
finn-b-M13_ROTATORCUFF	Rotator cuff syndrome		12508	2021	NA
finn-b-OFFICIAL_TILASTOKESKUS	Alcohol related diseases, tilastokeskus definition		12484	2021	NA
finn-b-D3_ANAEMIA	Anaemias		12434	2021	NA
finn-b-I9_REVASC	Coronary revascularization (ANGIO or CABG)		12271	2021	NA
finn-b-I9_REVASC_EXNONE	Coronary revascularization (ANGIO or CABG) (no controls excluded)		12271	2021	NA
finn-b-I9_REVACS_EXNONE	Emergency coronary revascularization (for ACS) (no controls excluded)		12271	2021	NA
finn-b-I9_DOAAC	Diseases of arteries, arterioles and capillaries		12251	2021	NA
finn-b-AUD_SWEDISH	Alcohol use disorder, Swedish definition		12204	2021	NA
finn-b-Z21_CARE_INVOLVI_USE_REHAB_PROCED	Care involving use of rehabilitation procedures		12172	2021	NA
finn-b-ST19_DISLO_SPRAIN_STRAIN_JOINTS_LIGAM_KNEE	Dislocation, sprain and strain of joints and ligaments of knee		12126	2021	NA
finn-b-F5_KELAMENT	Kela-cod for severe mental illness		12047	2021	NA
finn-b-ST19_INJURI_ANKLE_FOOT	Injuries to the ankle and foot		11988	2021	NA
finn-b-APPENDACUT_NOCOMPLIC	Acute appendicitis, no complications		11899	2021	NA
finn-b-I9_STR_EXNONE	"""Stroke, excluding SAH"" (no controls excluded)"		11734	2021	NA
finn-b-I9_STR	Stroke, excluding SAH		11734	2021	NA
finn-b-N14_FEMALEGENINF	Inflammatory diseases of female pelvic organs		11721	2021	NA
finn-b-I9_MI_STRICT_EXNONE	"""Myocardial infarction, strict"" (no controls excluded)"		11622	2021	NA
finn-b-I9_MI_STRICT	Myocardial infarction, strict		11622	2021	NA
finn-b-I9_NONISCHCARDMYOP	Non-ischemic cardiomyopathy		11400	2021	NA
finn-b-L12_OTHERSKINSUBCUTIS	Other disorders of skin and subcutaneous tissue		11310	2021	NA
finn-b-R18_SYMPTOMS_SIGNS_INVOLVI_SKIN_SUBCU_TISSUE	Symptoms and signs involving the skin and subcutaneous tissue		11244	2021	NA
finn-b-N14_PYELONEPHR	Acute tubulo-interstitial nephritis		11216	2021	NA
finn-b-G6_CARPTU	Carpal tunnel syndrome		11208	2021	NA
finn-b-RX_GLUCOSAMINE	Glucosamine medication		11199	2021	NA
finn-b-F5_ALCOHOL	Mental and behavioural disorders due to alcohol		11100	2021	NA
finn-b-H7_RETINALDISOTH	Other retinal disorders		11096	2021	NA
finn-b-K11_REIMB_202	KELA_REIMBURSEMENT_202		10919	2021	NA
finn-b-J10_SINUSITIS	Acute sinusitis		10916	2021	NA
finn-b-N14_OVARYCYST	Ovarian cyst		10848	2021	NA
finn-b-COX_ARTHROSIS	Coxarthrosis [arthrosis of hip](FG)		10709	2021	NA
finn-b-M13_ARTHTROSIS_COX	Coxarthrosis,		10709	2021	NA
finn-b-I9_STR_EXH_EXNONE	"""Ischaemic Stroke, excluding all haemorrhages"" (no controls excluded)"		10551	2021	NA
finn-b-I9_STR_EXH	Ischaemic Stroke, excluding all haemorrhages		10551	2021	NA
finn-b-ST19_CONCUSSION	Concussion		10527	2021	NA
finn-b-I9_AF_REIMB	Atrial fibrillation and flutter with reimbursement		10516	2021	NA
finn-b-ST19_FRACT_LOWER_LEG_INCLU_ANKLE	Fracture of lower leg, including ankle		10489	2021	NA
finn-b-M13_SYNOTEND	Disorders of synovium and tendon		10469	2021	NA
finn-b-C3_SKIN	Malignant neoplasm of skin		10384	2021	NA
finn-b-C3_SKIN_EXALLC	Malignant neoplasm of skin (all cancers excluded)		10384	2021	NA
finn-b-C3_OTHER_SKIN	Other malignant neoplasms of skin (=non-melanoma skin cancer)		10382	2021	NA
finn-b-C3_OTHER_SKIN_EXALLC	Other malignant neoplasms of skin (=non-melanoma skin cancer) (all cancers excluded)		10382	2021	NA
finn-b-L12_INFECT_SKIN	Infections of the skin and subcutaneous tissue		10343	2021	NA
finn-b-L12_DERMATITISNAS	Other and unspecified dermatitis (L12_DERMATITISNAS)		10308	2021	NA
finn-b-I9_NONRHEVALV	Non-rheumatic valve diseases		10235	2021	NA
finn-b-I9_NONRHEVALV_EXNONE	Non-rheumatic valve diseases (no controls excluded)		10235	2021	NA
finn-b-M13_ARTHROSIS_OTH	Other arthrosis		10192	2021	NA
finn-b-J10_VOCALLARYNX	Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified		10142	2021	NA
finn-b-F5_SCHIZO	Schizophrenia, schizotypal and delusional disorders		10118	2021	NA
finn-b-J10_LOWERINF	Other acute lower respiratory infections		10103	2021	NA
finn-b-ASTHMA_INFECTIONS	Asthma-related infections		10095	2021	NA
finn-b-KRA_PSY_SCHIZODEL	Schizophrenia or delusion		10091	2021	NA
finn-b-KRA_PSY_SCHIZODEL_EXMORE	Schizophrenia or delusion (more controls excluded)		10091	2021	NA
finn-b-AB1_ERYSIPELAS	Erysipelas		10019	2021	NA
finn-b-ST19_FRACT_FOREA	Fracture of forearm		9956	2021	NA
finn-b-ST19_INTRACR_INJURY	Intracranial injury		9914	2021	NA
finn-b-H7_ALLERGICCONJUNCTIVITIS	Allergic conjunctivitis		9833	2021	NA
finn-b-R18_ABNORMAL_FINDI_EXAMI_OTHER_BODY_FLUIDS_SUBST_TISSU_WO_DIAGNOSIS	Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis		9786	2021	NA
finn-b-R18_FEVER_OTHER_UNKNO_ORIGIN	Fever of other and unknown origin		9745	2021	NA
finn-b-M13_ARTHTROSIS_COX_PRIM_ICD10	Coxarthrosis, primary		9700	2021	NA
finn-b-ALCOHOLMENTAL	Mental and behavioural disorders due to alcohol, excluding acute intoxication		9672	2021	NA
finn-b-RX_CROHN_2NDLINE	Second line medication for Crohns disease		9669	2021	NA
